Tweet	label
@handle Let's try and catch up live next week!	8746
Going to watch Grey's on the big screen - Thursday indulgence.....	8746
@handle My pleasure Patrick....hope you are well!	8746
@handle Hi there! Been traveling a lot and lots more to come this and next month - recovered from the pneumonia - but well! How r u?	8746
RT @handle Looking to Drink Clean & Go Green? Purchase your Clear2Go bottle w/ filter at your nearest @handle	8746
RT @handle: Ft. Hood officials confirm the 2 other soldiers initially held as suspects have been released	8746
RT @handle: Mickey Mouse is Getting a Make Over http://bit.ly/1UstFu @handle	8746
@handle How did u get the invite Justin?	8746
@handle I think I am still a good friend of hers - lol!	8746
@handle I remember! I am fine - how are u? What's new?	8746
@handle That's great - good for the coach!!!!!	8746
@handle I don't want to picture u sitting on it - lol - but I understand.....	8746
@handle D- Thanks for the RTs....are you going to WOMMA Summit?	8746
@handle Grrr....you must be going crazy!	8746
@handle Hi there - just catching up from my trip - any news on Dale?	8746
RT @handle: If you're looking for some great lists to follow then check mine out! = http://bit.ly/JPlists	8746
RT @handle: Retailers who arent engaging customers through social media could be missing the boat. http://ow.ly/zxvh	8746
Still in car....want to jump out....45 minutes eta!!!	8746
"RT @handle: ""Only surround yourself with people who will lift you higher."" Oprah Winfrey #inspiration"	8746
@handle wish I could but 24/7 w stu's family then drive. Home sat am so max can get back to school sun. :-(	8746
RT @handle: Help us help MusiCares! Vote for Charity on Facebook: http://bit.ly/72CP1Q	8746
@handle yum!!!! Save me some!!	8746
RT @handle: Gratitude is the sign of noble souls. ~Aesop #quote #gratitude	8746
@handle I don't think I know what it is!	8746
"RT @handle: @handle Just found you via @handle sheesh, @handle let's do a post for SY on this before winter break in Dec?"	8746
RT @handle: RT @handle: Travelling for the Holiday? Send us a pic of your Gettington Bag in action! ... http://bit.ly/704Oi3	8746
Just entering ohio - special hi to @handle!!	8746
@handle well we agree on one food thing friend - pumpkin pie! For that (and u) I am grateful #tweetsgiving	8746
@handle only 1!!!!!	8746
@handle only 4 more hours til Akron!	8746
@handle am driving to ohio...look fforward to responding sun....have a great holiday!	8746
@handle just ate at the King!!!!	8746
RT @handle: Good read: Harvard Business - Oprah Winfrey and Your Leadership Brand http://tinyurl.com/yks92ww #leadership #brand #marketing	8746
@handle u are a tough chick! Hope it did not ruin the banquet for u or dale!	8746
@handle we let jake take one last week when he had a half day...they need them too!	8746
@handle tennesee says hi back! Watching out for all the BKs but sure lunch will be W's!	8746
@handle ah hah....schools closed in atlanta today...only 8 more hours of driving...ugh...will say hi a little later!!!!	8746
@handle hi Lil! Driving thru tennessee now! Are p early!	8746
"RT @handle: Check it out- ""12 Extremely Effective Guerrilla Marketing Stunts""- http://tinyurl.com/damuxk"	8746
@handle glad u remembered! Have a great holiday!	8746
RT @handle: More Thanksgiving leftover ideas http://bit.ly/8hpVLJ	8746
@handle Thank you Rob - we are proud of the site!! Happy TDay!	8746
Night and Happy Thaksgiving to all my friends - old and new - tonight has been super! #anntaylor	8746
RT @handle: @handle Sounds amazing! Its going to be a cold winter here in NYC! #GNO @handle #anntaylor	8746
@handle Tellme about it	8746
"RT @handle: @handle Q12 Love the velvet jacket posted earlier, it's a must wear for the holidays! #gno #anntaylor"	8746
RT @handle: Now I'm dreaming of new boots and soft cashmere. Time to go shopping #gno #anntaylor	8746
RT @handle: RT @handle: Q12: WHAT ARE U MOST LOOKING FRWRD 2 WEARING THIS HOLIDAY SEASON? #gno #anntaylor	8746
@handle LOL!!!!	8746
RT @handle: RT @handle: Become a fan of the fashionable @handle FB page! http://www.facebook.com/AnnTaylor #gno #anntaylor	8746
@handle It is a litt;e boring working from home but when I travel oo la la! #anntaylor	8746
RT @handle: Become a fan of the fashionable @handle FB page! http://www.facebook.com/AnnTaylor PLS RT #gno #anntaylor	8746
!@handle Leaving at 6:00 am to drive to Akron OH to spend holiday with cousins #anntaylor	8746
@handle We have to compare notes! #anntaylor	8746
@handle Wish I had time to shop when I come - did a number here in Atl two weeks ago! #anntaylor	8746
RT @handle: o my gosh i have fallen in love all over again with ann taylor #gno #anntaylorstyle	8746
@handle Nice to see u here Andrew! #anntaylor	8746
"RT @handle: @handle Q10- statement necklace, blazer, LBD! #anntaylor #gno"	8746
RT @handle: @handle @handle @handle @handle @handle Thank you for the RT love!! MY PLEASURE!	8746
@handle I understand the urge!	8746
@handle U are so cute - I don't have one! #anntaylor	8746
@handle Without what? #anntaylor	8746
@handle Black pants would be the one thing I can't live withouth! #anntaylor	8746
@handle How many little black dresses do u have? #anntaylor	8746
RT @handle: http://twitpic.com/qtzls - @handle Q10: Every closet needs at least one LBD! http://bit.ly/6P6Bnw #anntaylor	8746
"RT @handle: @handle An ""LBD"" http://bit.ly/6jDdT5 #gno #anntaylor"	8746
RT @handle: RT @handle: @handle Q10: WHAT THE 1 WARDROBE PIECE U COULDNT LIVE W/OUT? PLS RT #gno #anntaylor	8746
RT @handle: RT @handle: @handle fab white shirts are a must have in everyone's wardrobe! #gno #anntaylor	8746
#anntaylor	8746
RT @handle: Q8: HOW HAVE U STRIVED 2B SUCCESSFUL IN DIFF AREAS OF UR LIFE (WORK/HOME/COMMUNITY)? PLS RT #gno #anntaylor	8746
Do NOT Pay For White Teeth! Mom's Whitening Method Exposed. The Results WILL Shock You. http://tinyurl.com/yhne2r4	2423
"Get a $500 rebate on Car Insurance, Get an instant quote now! http://tinyurl.com/yjobppf"	2423
Check out the coolest new FREE trend in the golf industry. http://tinyurl.com/ylsxj7s	2423
SECRET: White Teeth Trick! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/yje432t	2423
"Do NOT Pay for White Teeth!! Learn the trick discovered by a mom to turn yellow teeth white, under $10. http://tinyurl.com/yk3xwwg"	2423
"Enter to win a FREE 50"" Panasonic HDTV http://tinyurl.com/yjnutld"	2423
Do NOT Pay For White Teeth! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://tinyurl.com/yget3kl	2423
Do NOT Let the Dentist Fool You! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/ykl7mmb	2423
Do NOT Pay For White Teeth! Mom's Whitening Method Exposed. The Results WILL Shock You. http://tinyurl.com/yzy2eft	2423
Do NOT Pay For Teeth Whitening!!! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://tinyurl.com/yl8x594	2423
Cure Yellow Teeth: NO Dentist Required! Learn how Cathy did it from home. Learn More. http://tinyurl.com/yhfdzyf	2423
If you are interested in becoming a nurse check out this list of fine Online Schools of Nursing. http://tinyurl.com/yao5b7m	2423
"SECRET: ""White Teeth Trick"" - Learn from Cathy how she turned her yellow teeth white at home for $5! http://tinyurl.com/y8crhuh"	2423
At-Home Teeth Whitening: Does it work?? Check this out! http://tinyurl.com/ycyydg4	2423
DON'T Let The Dentist Fool You: Single mom discovers 1 simple trick to turn yellow teeth white from home. http://tinyurl.com/y8f9pmw	2423
Do NOT Let the Dentist Fool You! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/y8j3udm	2423
BREAKING NEWS: A Santa Cruz Mom Found a Secret to Turn Yellow Teeth White at Home. Read the story http://tinyurl.com/yab9tfl	2423
Cure Yellow Teeth: NO Dentist Required! Learn how Cathy did it from home. Learn More. http://tinyurl.com/ybvh42u	2423
"Do NOT Pay for White Teeth!! Learn the trick discovered by a mom to turn yellow teeth white, under $10. http://tinyurl.com/ybpxb88"	2423
"Incredible! Get paid to read emails, try new products, take surveys,"	2423
SECRET: White Teeth Trick! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/yd3dq26	2423
"SECRET: ""White Teeth Trick"" - Learn from Cathy how she turned her yellow teeth white at home for $5! http://tinyurl.com/ydfgxmt"	2423
"Jobless Mom makes $8,673/Month Part-Time Online! Read this special report to see how. http://tinyurl.com/yey7tmm"	2423
As cool as it gets! Charlie Sheen's line signature shirts. HOT-HOT-HOT!! http://tinyurl.com/lh3pl8	2423
You gotta check this out. Its an adult social network not a dating site. They got it right.. http://tinyurl.com/mdevmp	2423
"Cash rules! Being broke doesn't! Need Cash? Get up to $1,000 overnite! http://tinyurl.com/l9ay3j"	2423
Do NOT Pay For White Teeth! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://tinyurl.com/nenonk	2423
"Do NOT Pay for White Teeth!! Learn the trick discovered by a mom to turn yellow teeth white, under $10. http://tinyurl.com/mw45ze"	2423
Do NOT Pay For Teeth Whitening!!! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://p.gs/xjgmc	2423
"Get TRAINED and Make up to $59,460*!!! That's $1,120* per week! http://p.gs/5ndkq"	2423
"Jobless Mom makes $8,673/Month Part-Time Online! Read this special report to see how. http://tinyurl.com/q87yhk"	2423
Company giving away $250 Grocery gift card. Put in your zipcode to check availability! http://p.gs/9lhbi	2423
Scholarships4Moms is awarding another $10k for college FREE - Sept. 30th deadline. Register today! http://p.gs/gh2q2	2423
"Not sure if they are still giving away free samples, but if you need to lose weight this stuff is amazing http://p.gs/56cu3"	2423
i just found some great porn tune www.rudetube.info ...enjoy :D	2423
"#treat is awesome, but #trick is more fun."	564
"You can learn a lot about how people see you by how you're listed. For example, it seems that people feel strongly that I work at Twitter."	564
"I'm not sure when I switched from reading books in bed just before going to sleep to checking email, but I don't think it's healthy."	564
Another headphones cable on the fritz. I need to buy these things in bulk.	564
@handle Get a magical parking card. http://bit.ly/zpKsH Available pre-tax through WageWorks.	564
Ok then. I'm just going to hold off for a little while and react to this later.	564
I'm beginning to think this day would have gone better if I had started it differently. Mainly if I'd skipped the getting out of bed part.	564
"I just finished season one of The Tudors, and omg you guys--you'll never believe how it ends!"	564
@handle Perhaps ideal for the undead.	564
It's a good thing I have this never-ending mountain of email to sort though. Otherwise waiting on these tests would be boh-rring.	564
I want there to be substantially less waiting in my day to day life.	564
Embroidery: cooler than you would think.	564
"@handle called me a ""pretty little hate machine"". It made me blush."	564
Don't cloud the wonder of this week with your little ...facts.	564
I block for misdirected @ replies.	564
@handle No. I would burn alive contentedly at my laptop without ever having heard the fire alarm.	564
Finally figured it out. There's only one escalator at this Bart station. It changes direction depending on the time of day.	564
I'm watching the shipping casualty of this move hasten to its doom from the tracking page. Poor little guy. He has no idea what he's in for.	564
@handle Wow. Just... wow.	564
"Took a chance on some molasses clove cookies. Oh yeaaah, I live on the wild side. And it's tasty here."	564
@handle What timezone are you in? Because if being up at 11pm makes you an insomniac then... *pats your head*	564
"@handle Yes, and then she loaned it to me. But I can assure you, we both knew what we were getting into."	564
Anyone who believes that you cannot judge a book by its cover has not seen the cover of this book: http://amzn.com/0373621353	564
"The prospect of a new office on Monday fills me with the kind of hope that scares me. (That is, any.)"	564
Just remembered my stressful dream. I sure hope @handle isn't mad at me still.	564
"@handle Well, hello fellow moocher. Thanks for getting to it so quickly!"	564
"Today in cute: Cinder eats with his hands. Scoops up each piece of kibble with his paw and head tilted, daintily dishes it into his mouth."	564
Nothing will make you realize just how dumb something is as trying to explain it to someone else.	564
"The one thing that USPS has on UPS, FedEx and all other carriers: the forwarding address."	564
"We sincerely appreciate your feedback. But please note, there is a 250 character limit. Max exceeded. Turns out I only needed four."	564
"I'm going to be a full hour late to this thing. My only excuse? C'mon, it's Saturday."	564
Donated to a public artistic preformance for the first time in years. It was both striking and silent.	564
"Thinking warm, congratulatory thoughts towards the people who made that thing happen. You know who you are."	564
@handle Never Forget.	564
Abandoned cat is abandoned. http://sfbay.craigslist.org/eby/pet/1451640811.html Please adopt or RT.	564
"Alright, that's it. Today calls for cookies."	564
"I need something to cheer me up from my somber contemplation. Oh, this economics book will do quite nicely. What? ""Dismal"" is realtive."	564
"Wanted: a lightweight, fast, simple note taking web app that stores to the cloud and is on iphone. Note: omnifocus does not qualify AT ALL."	564
@handle That is exactly as it should be.	564
Whatever. It'll be like paypal. We'll just hire lots of laywers.	564
"What ever happened to smelling salts anyway? Oh. ""Ammonia gas is toxic in large concentrations for prolonged periods, and can be fatal..."""	564
GENIUS money making idea: An alarm clock that involves smelling salts.	564
"Alright you guys, I let you have your fun. But it's November--it's time to put the sun away now."	564
"@handle I don't get the hate people have for Nickelback. Sure, they're poppy and derivative--but since when does that inspire such rage?"	564
"@handle Critical mass represents almost, but not quite everything that I hate about San Francisco."	564
